Order Date,Row ID,Order ID,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name, Sales ,Quantity,Discount, Profit ,,,,,,
30-Dec-17,646,CA-2017-126221,05-Jan-18,Standard Class,CC-12430,Chuck Clark,Home Office,United States,Columbus,Indiana,47201,Central,OFF-AP-10002457,Office Supplies,Appliances,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red", $209.30 ,2,0%, $56.51 ,,Regions,Total quantity sold,Total sales,Total discount,Total profit
30-Dec-17,907,CA-2017-143259,03-Jan-18,Standard Class,PO-18865,Patrick O'Donnell,Consumer,United States,New York City,New York,10009,East,FUR-BO-10003441,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Fully Assembled", $323.14 ,4,20%, $12.12 ,,West ," $12,266.00 "," $725,457.82 ",350.2," $108,418.45 "
30-Dec-17,908,CA-2017-143259,03-Jan-18,Standard Class,PO-18865,Patrick O'Donnell,Consumer,United States,New York City,New York,10009,East,TEC-PH-10004774,Technology,Phones,Gear Head AU3700S Headset, $90.93 ,7,0%, $2.73 ,,East," $10,618.00 "," $678,781.24 ",414," $91,522.78 "
30-Dec-17,909,CA-2017-143259,03-Jan-18,Standard Class,PO-18865,Patrick O'Donnell,Consumer,United States,New York City,New York,10009,East,OFF-BI-10003684,Office Supplies,Binders,Wilson Jones Legal Size Ring Binders, $52.78 ,3,20%, $19.79 ,,South," $6,209.00 "," $391,721.91 ",238.55," $46,749.43 "
30-Dec-17,1297,CA-2017-115427,03-Jan-18,Standard Class,EB-13975,Erica Bern,Corporate,United States,Fairfield,California,94533,West,OFF-BI-10002103,Office Supplies,Binders,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl", $13.90 ,2,20%, $4.52 ,,Central," $8,780.00 "," $501,239.89 ",558.34," $39,706.36 "
30-Dec-17,1298,CA-2017-115427,03-Jan-18,Standard Class,EB-13975,Erica Bern,Corporate,United States,Fairfield,California,94533,West,OFF-BI-10004632,Office Supplies,Binders,GBC Binding covers, $20.72 ,2,20%, $6.48 ,,,,,,
30-Dec-17,5092,CA-2017-156720,03-Jan-18,Standard Class,JM-15580,Jill Matthias,Consumer,United States,Loveland,Colorado,80538,West,OFF-FA-10003472,Office Supplies,Fasteners,Bagged Rubber Bands, $3.02 ,3,20%, $(0.60),,,,,,
29-Dec-17,1878,CA-2017-118885,02-Jan-18,Standard Class,JG-15160,James Galang,Consumer,United States,Los Angeles,California,90049,West,FUR-CH-10002880,Furniture,Chairs,"Global High-Back Leather Tilter, Burgundy", $393.57 ,4,20%, $(44.28),,,,,,
29-Dec-17,1879,CA-2017-118885,02-Jan-18,Standard Class,JG-15160,James Galang,Consumer,United States,Los Angeles,California,90049,West,TEC-PH-10002563,Technology,Phones,Adtran 1202752G1, $302.38 ,3,20%, $22.68 ,,,,,,
29-Dec-17,2875,US-2017-102638,31-Dec-17,First Class,MC-17845,Michael Chen,Consumer,United States,New York City,New York,10035,East,OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps, $6.03 ,3,0%, $2.95 ,,,,,,
29-Dec-17,4240,CA-2017-158673,04-Jan-18,Standard Class,KB-16600,Ken Brennan,Corporate,United States,Grand Rapids,Michigan,49505,Central,OFF-PA-10000994,Office Supplies,Paper,Xerox 1915, $209.70 ,2,0%, $100.66 ,,,,,,
29-Dec-17,5132,CA-2017-146626,05-Jan-18,Standard Class,BP-11185,Ben Peterman,Corporate,United States,Anaheim,California,92804,West,FUR-FU-10002501,Furniture,Furnishings,Nu-Dell Executive Frame, $101.12 ,8,0%, $37.41 ,,,,,,
29-Dec-17,5457,CA-2017-130631,02-Jan-18,Standard Class,BS-11755,Bruce Stewart,Consumer,United States,Edmonds,Washington,98026,West,OFF-FA-10000089,Office Supplies,Fasteners,Acco Glide Clips, $19.60 ,5,0%, $9.60 ,,,,,,
29-Dec-17,5458,CA-2017-130631,02-Jan-18,Standard Class,BS-11755,Bruce Stewart,Consumer,United States,Edmonds,Washington,98026,West,FUR-FU-10004093,Furniture,Furnishings,Hand-Finished Solid Wood Document Frame, $68.46 ,2,0%, $20.54 ,,,,,,
29-Dec-17,7633,US-2017-158526,01-Jan-18,Second Class,KH-16360,Katherine Hughes,Consumer,United States,Louisville,Kentucky,40214,South,FUR-CH-10002602,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair," $1,207.84 ",8,0%, $314.04 ,,,,,,
